h1,h2,left,right,above,below,front,behind,over,under,in,touch,at,between,near,on top of,beside,facing,total
15,15,0.8157894736842105,0.94,0.8846153846153846,0.782608695652174,0.7954545454545454,0.68,1.0,0.9090909090909091,1.0,0.7111111111111111,0.9230769230769231,0.8518518518518519,0.90625,0.8051948051948052,0.6666666666666666,0.75,0.8336980306345733
15,15,0.868421052631579,0.82,0.7307692307692307,0.6521739130434783,0.6136363636363636,0.64,0.6666666666666666,1.0,0.9,0.8,0.9230769230769231,0.8148148148148148,0.9375,0.8571428571428571,1.0,0.75,0.8074398249452954
15,15,0.8947368421052632,0.9,0.8846153846153846,0.8260869565217391,0.7045454545454546,0.64,1.0,0.8181818181818182,0.8,0.7111111111111111,1.0,0.8888888888888888,0.96875,0.8311688311688312,0.3333333333333333,0.0,0.8293216630196937
15,15,0.9210526315789473,0.98,0.8461538461538461,0.5652173913043478,0.6363636363636364,0.64,0.6666666666666666,0.7272727272727273,0.9,0.6222222222222222,0.9230769230769231,0.8518518518518519,0.9375,0.8051948051948052,1.0,0.75,0.8030634573304157
15,15,0.8421052631578947,0.92,0.8846153846153846,0.6521739130434783,0.7727272727272727,0.6,0.6666666666666666,1.0,0.5,0.7111111111111111,0.9487179487179487,0.8518518518518519,0.875,0.7662337662337663,0.0,0.75,0.7986870897155361
15,17,0.9210526315789473,0.88,0.8076923076923077,0.782608695652174,0.7045454545454546,0.84,0.6666666666666666,1.0,0.8,0.7333333333333333,1.0,0.9259259259259259,0.90625,0.7532467532467533,1.0,0.5,0.8315098468271335
15,17,0.7894736842105263,0.88,0.8076923076923077,0.782608695652174,0.8409090909090909,0.56,0.6666666666666666,1.0,1.0,0.8,0.7948717948717948,0.9629629629629629,0.875,0.8701298701298701,1.0,0.75,0.8336980306345733
15,17,0.9210526315789473,0.96,0.8461538461538461,0.8260869565217391,0.7727272727272727,0.68,0.6666666666666666,0.9090909090909091,0.9,0.6888888888888889,0.8974358974358975,0.9259259259259259,0.875,0.8441558441558441,1.0,1.0,0.8468271334792122
15,17,0.8947368421052632,0.86,0.6153846153846154,0.6521739130434783,0.5909090909090909,0.72,1.0,1.0,0.8,0.8,0.9230769230769231,0.9629629629629629,0.90625,0.7662337662337663,1.0,0.5,0.7986870897155361
15,17,0.8947368421052632,0.78,0.8846153846153846,0.6521739130434783,0.7045454545454546,0.6,0.3333333333333333,1.0,0.8,0.6222222222222222,0.8974358974358975,0.8518518518518519,0.90625,0.8961038961038961,0.6666666666666666,1.0,0.8030634573304157
15,19,0.868421052631579,0.8,0.8846153846153846,0.7391304347826086,0.6818181818181818,0.56,1.0,0.8181818181818182,0.8,0.8444444444444444,0.9487179487179487,0.9629629629629629,0.90625,0.8701298701298701,0.6666666666666666,0.5,0.8271334792122538
15,19,0.8157894736842105,0.88,0.8461538461538461,0.8260869565217391,0.6363636363636364,0.6,0.6666666666666666,0.9090909090909091,0.8,0.6666666666666666,0.9743589743589743,0.8148148148148148,1.0,0.8311688311688312,0.6666666666666666,0.5,0.8074398249452954
15,19,0.8947368421052632,0.9,0.7692307692307693,0.6521739130434783,0.7045454545454546,0.72,1.0,0.9090909090909091,0.8,0.6888888888888889,0.9230769230769231,0.8888888888888888,1.0,0.7922077922077922,1.0,0.25,0.8140043763676149
15,19,0.868421052631579,0.78,0.9230769230769231,0.5652173913043478,0.9090909090909091,0.52,0.6666666666666666,0.8181818181818182,0.6,0.7555555555555555,0.8974358974358975,0.8518518518518519,0.96875,0.7532467532467533,1.0,0.5,0.7986870897155361
15,19,0.868421052631579,0.86,0.9230769230769231,0.782608695652174,0.75,0.52,0.6666666666666666,0.8181818181818182,0.7,0.6666666666666666,0.9230769230769231,0.8148148148148148,0.9375,0.8181818181818182,1.0,0.5,0.8052516411378556
15,21,0.9473684210526315,0.9,0.8846153846153846,0.6956521739130435,0.8181818181818182,0.76,0.6666666666666666,0.8181818181818182,0.9,0.8222222222222222,0.9487179487179487,0.9259259259259259,0.90625,0.8701298701298701,1.0,0.75,0.8665207877461707
15,21,0.9210526315789473,0.76,0.8461538461538461,0.6956521739130435,0.6590909090909091,0.76,1.0,0.7272727272727273,0.9,0.7555555555555555,0.9743589743589743,0.8518518518518519,1.0,0.8571428571428571,1.0,0.75,0.8271334792122538
15,21,0.8947368421052632,0.86,0.9230769230769231,0.5652173913043478,0.7272727272727273,0.68,1.0,0.8181818181818182,0.8,0.7111111111111111,0.9487179487179487,0.9259259259259259,0.9375,0.8051948051948052,0.6666666666666666,1.0,0.8205689277899344
15,21,0.8421052631578947,0.92,0.8461538461538461,0.8260869565217391,0.5909090909090909,0.68,1.0,0.9090909090909091,1.0,0.7555555555555555,0.8974358974358975,0.8148148148148148,0.9375,0.8181818181818182,1.0,0.0,0.8140043763676149
15,21,0.8947368421052632,0.76,1.0,0.8695652173913043,0.7954545454545454,0.76,1.0,1.0,0.9,0.7777777777777778,0.9487179487179487,0.8518518518518519,0.875,0.8701298701298701,0.6666666666666666,0.75,0.8533916849015317
15,23,0.868421052631579,0.96,0.8076923076923077,0.6521739130434783,0.7045454545454546,0.76,1.0,0.9090909090909091,0.7,0.6888888888888889,0.8717948717948718,1.0,0.875,0.7532467532467533,0.6666666666666666,0.75,0.8096280087527352
15,23,0.9736842105263158,0.94,0.8846153846153846,0.6521739130434783,0.6818181818181818,0.84,0.6666666666666666,0.8181818181818182,0.8,0.6888888888888889,0.8717948717948718,0.8888888888888888,0.84375,0.8571428571428571,0.6666666666666666,0.75,0.8293216630196937
15,23,0.8421052631578947,0.94,0.7692307692307693,0.782608695652174,0.6590909090909091,0.6,0.6666666666666666,0.7272727272727273,0.8,0.7777777777777778,0.9743589743589743,0.8518518518518519,0.90625,0.8181818181818182,1.0,0.25,0.811816192560175
15,23,0.868421052631579,0.9,0.8461538461538461,0.8260869565217391,0.6590909090909091,0.72,0.3333333333333333,1.0,0.7,0.8,0.8974358974358975,0.7777777777777778,0.78125,0.8701298701298701,1.0,0.25,0.8161925601750547
15,25,0.8421052631578947,0.9,0.7692307692307693,0.8260869565217391,0.7045454545454546,0.84,1.0,0.7272727272727273,0.9,0.7333333333333333,0.9230769230769231,0.8148148148148148,0.84375,0.8311688311688312,0.6666666666666666,0.5,0.8183807439824945
15,25,0.868421052631579,0.88,1.0,0.782608695652174,0.7045454545454546,0.76,0.6666666666666666,0.8181818181818182,0.8,0.7777777777777778,0.8974358974358975,0.8888888888888888,0.96875,0.8311688311688312,0.6666666666666666,0.75,0.8402625820568927
15,25,0.8157894736842105,0.86,0.9230769230769231,0.6086956521739131,0.7272727272727273,0.64,0.6666666666666666,0.9090909090909091,0.9,0.6444444444444445,0.9230769230769231,0.6666666666666666,0.9375,0.935064935064935,1.0,0.75,0.8140043763676149
15,25,0.8421052631578947,0.78,0.9230769230769231,0.6086956521739131,0.8181818181818182,0.68,1.0,1.0,0.8,0.7777777777777778,0.8974358974358975,0.7777777777777778,0.875,0.8441558441558441,1.0,1.0,0.8205689277899344
15,25,0.631578947368421,0.84,0.9230769230769231,0.6521739130434783,0.5681818181818182,0.72,1.0,0.9090909090909091,1.0,0.7111111111111111,0.9487179487179487,0.8518518518518519,0.9375,0.8701298701298701,0.6666666666666666,0.75,0.7986870897155361
15,27,0.868421052631579,0.94,0.8461538461538461,0.8695652173913043,0.6818181818181818,0.6,1.0,0.9090909090909091,0.7,0.7333333333333333,0.8717948717948718,0.9629629629629629,0.9375,0.8311688311688312,1.0,0.75,0.8315098468271335
15,27,0.9473684210526315,0.88,0.9615384615384616,1.0,0.75,0.68,1.0,0.9090909090909091,0.8,0.8888888888888888,0.9230769230769231,0.9259259259259259,0.90625,0.8831168831168831,1.0,0.5,0.8796498905908097
15,27,0.9210526315789473,0.9,0.8846153846153846,0.6086956521739131,0.6818181818181818,0.52,0.6666666666666666,0.8181818181818182,0.9,0.7555555555555555,0.9230769230769231,0.8518518518518519,0.875,0.9090909090909091,0.6666666666666666,0.0,0.8161925601750547
15,27,0.8947368421052632,0.9,0.7692307692307693,0.6521739130434783,0.75,0.8,1.0,0.9090909090909091,0.9,0.7111111111111111,0.9230769230769231,0.8148148148148148,0.9375,0.8181818181818182,0.6666666666666666,0.75,0.824945295404814
15,27,0.9210526315789473,0.8,0.8846153846153846,0.782608695652174,0.7727272727272727,0.56,1.0,0.9090909090909091,0.9,0.8,0.9230769230769231,0.8518518518518519,1.0,0.8311688311688312,0.3333333333333333,1.0,0.8358862144420132
15,29,0.8421052631578947,0.8,0.6538461538461539,0.8260869565217391,0.7272727272727273,0.76,0.6666666666666666,0.9090909090909091,0.8,0.6222222222222222,0.9487179487179487,1.0,0.96875,0.8311688311688312,0.3333333333333333,0.75,0.8096280087527352
15,29,0.8947368421052632,0.9,0.7692307692307693,0.8260869565217391,0.7045454545454546,0.76,1.0,0.9090909090909091,0.8,0.8,0.9487179487179487,0.8518518518518519,0.9375,0.8181818181818182,1.0,0.75,0.8402625820568927
15,29,0.9736842105263158,0.94,0.8076923076923077,0.782608695652174,0.5681818181818182,0.6,0.6666666666666666,1.0,1.0,0.7777777777777778,0.9743589743589743,0.9259259259259259,0.90625,0.8441558441558441,0.3333333333333333,0.5,0.8336980306345733
15,29,0.7894736842105263,0.88,0.8461538461538461,0.7391304347826086,0.7045454545454546,0.44,1.0,1.0,0.8,0.7777777777777778,0.9743589743589743,0.8148148148148148,0.875,0.7792207792207793,0.6666666666666666,0.75,0.7986870897155361
15,29,0.868421052631579,0.88,0.8461538461538461,0.8695652173913043,0.7045454545454546,0.72,1.0,0.9090909090909091,0.8,0.7333333333333333,0.9487179487179487,0.8148148148148148,0.96875,0.8181818181818182,0.3333333333333333,0.75,0.8293216630196937
15,31,0.868421052631579,0.92,0.8461538461538461,0.7391304347826086,0.6590909090909091,0.6,0.6666666666666666,1.0,0.9,0.7555555555555555,0.9743589743589743,0.8148148148148148,1.0,0.8181818181818182,1.0,1.0,0.8315098468271335
15,31,0.8947368421052632,0.94,0.9615384615384616,0.8260869565217391,0.6363636363636364,0.64,0.3333333333333333,0.9090909090909091,0.8,0.6,0.8974358974358975,0.8148148148148148,0.90625,0.922077922077922,1.0,1.0,0.8293216630196937
15,31,0.8947368421052632,0.94,0.7307692307692307,0.782608695652174,0.7272727272727273,0.56,0.6666666666666666,0.8181818181818182,0.8,0.7555555555555555,0.9487179487179487,0.9259259259259259,0.90625,0.8051948051948052,0.6666666666666666,0.75,0.8205689277899344
